asset_id,current_los,method_1_cost,method_2_cost,method_3_cost,weight,SHAPE_Leng
1000001,3.3,8353.2,33412.8,146181,0.23,79.0819467
1000002,6.4,857.9,3431.6,15013.25,0.02,15.10018959
1000003,6.9,14758.1,59032.4,258266.75,0.4,165.4682564
1000004,8.5,11910.7,47642.8,208437.25,0.33,149.327034
1000005,7,11614,46456,203245,0.32,84.05348967
1000006,5,28222.4,112889.6,493892,0.77,309.0736621
1000007,7.5,50184.9,200739.6,878235.75,1.37,281.3758422
1000008,5.584954969,6551.6,26206.4,114653,0.18,132.5245296
1000009,6.8,2776.575,11106.3,55531.5,0.1,50.02748391
1000010,5.1,1806.5,7226,31613.75,0.05,31.69968598
1000011,5.9,4196.6,16786.4,73440.5,0.11,61.72672389
1000012,6.1,1414.6,5658.4,24755.5,0.04,17.16918625
1000013,5.633010688,8509.1,34036.4,148909.25,0.23,108.7627961
1000014,7.3,9500.2,38000.8,166253.5,0.26,107.0580543
1000015,5,22294.3,89177.2,390150.25,0.61,156.3404117
1000016,5.5,8932.725,35730.9,178654.5,0.33,86.99563749
1000017,7.8,19523.3,78093.2,341657.75,0.53,190.3054516
1000018,6.3,7909.8,31639.2,138421.5,0.22,70.17874022
1000019,5.9,4933.5,19734,86336.25,0.13,94.28874134
1000020,3.9,10805.6,43222.4,189098,0.3,110.4709967
1000021,6.4,25476.3,101905.2,445835.25,0.7,230.270805
1000022,6.9,152507.8,610031.2,2668886.5,4.17,1751.930455
1000023,7.1,3569.3,14277.2,62462.75,0.1,37.9245911
1000024,4.1,1997.7,7990.8,34959.75,0.05,27.88846355
1000025,4.1,4745.3,18981.2,83042.75,0.13,54.34278757
1000026,1.6,2602.4,10409.6,45542,0.07,18.47145173
1000027,5.5,9217.8,36871.2,184356,0.34,177.4494129
1000028,6.1,11221.4,44885.6,196374.5,0.31,159.983567
1000029,6.1,693,2772,12127.5,0.02,10.70811366
1000030,3.9,3746.5,14986,65563.75,0.1,48.26255263
1000031,6.2,11126.6,44506.4,194715.5,0.3,132.4825515
1000032,4.7,30758,123032,538265,0.84,305.5484062
1000033,3.9,15639.1,62556.4,273684.25,0.43,134.310266
1000034,6.8,898.95,3595.8,22473.75,0.05,860.1037127
1000035,5.1,9834.5,39338,172103.75,0.27,94.39641629
1000036,4.7,17900.7,71602.8,313262.25,0.49,180.0459263
1000037,7.1,50391.8,201567.2,881856.5,1.38,368.6573055
1000038,6.3,14378.3,57513.2,251620.25,0.39,87.17462145
1000039,5.5,311.15,1244.6,7778.75,0.02,9.731092373
1000040,6.1,476.5,1906,8338.75,0.01,9.669366574
1000041,4.7,7444.3,29777.2,130275.25,0.2,99.12120668
1000042,6.3,93139.7,372558.8,1629944.75,2.54,628.174389
1000043,3.9,4045.9,16183.6,70803.25,0.11,85.25312737
1000044,7.8,18759.1,75036.4,328284.25,0.51,235.0437871
1000045,5.2,5418.9,21675.6,94830.75,0.15,59.02014279
1000046,3.9,4692.9,18771.6,82125.75,0.13,83.21591103
1000047,3.9,699.5,2798,12241.25,0.02,14.51033523
1000048,3.5,16301.1,65204.4,285269.25,0.45,143.8929867
1000049,6.4,483.4,1933.6,8459.5,0.01,10.67354706
1000050,7.1,25504.6,102018.4,446330.5,0.7,278.1840305
1000051,5.568770978,1189.9,4759.6,20823.25,0.03,23.95353551
1000052,6.5,2907.9,11631.6,50888.25,0.08,43.79165973
1000053,6.5,14846.4,59385.6,259812,0.41,159.4287001
1000054,5.4,1405.6,5622.4,24598,0.04,12.76631617
1000055,7.1,25948,103792,454090,0.71,166.8173124
1000056,3.1,2983,11932,52202.5,0.08,40.92921202
1000057,6.2,2979.6,11918.4,52143,0.08,32.96393307
1000058,4.3,2456.3,9825.2,42985.25,0.07,27.96943197
1000059,4.3,7765.8,31063.2,135901.5,0.21,63.66640826
1000060,6.5,6617.9,26471.6,115813.25,0.18,107.6250083
1000061,7.1,3092.9,12371.6,54125.75,0.08,30.96707367
1000062,7.1,15440.5,61762,270208.75,0.42,115.5165497
1000063,7.6,55365.5,221462,968896.25,1.51,293.9350503
1000064,7.6,61275.4,245101.6,1072319.5,1.68,323.5342537
1000065,7.8,13603,54412,238052.5,0.38,156.8298428
1000066,7.1,36543.1,146172.4,639504.25,1,316.3140953
1000067,7.6,28722,114888,502635,0.79,148.4220871
1000068,7.2,42585.1,170340.4,745239.25,1.16,317.6250686
1000069,6.8,18952.3,75809.2,331665.25,0.52,103.6823632
1000070,7.8,150089.8,600359.2,2626571.5,4.1,989.0878651
1000071,7.2,19531.5,78126,341801.25,0.53,97.91072965
1000072,7.3,23988.1,95952.4,419791.75,0.66,148.5357761
1000073,7.1,7217.8,28871.2,126311.5,0.2,52.56794559
1000074,7,10516.6,42066.4,184040.5,0.29,129.4098019
1000075,7,10794,43176,188895,0.3,101.0355216
1000076,7.1,5852.6,23410.4,102420.5,0.16,42.6292102
1000077,7.1,11206.1,44824.4,196106.75,0.3,121.3571788
1000078,7.3,30833,123332,539577.5,0.84,337.4458678
1000079,6.8,16965.7,67862.8,296899.75,0.46,131.0397196
1000080,7.3,5473.2,21892.8,95781,0.15,51.07162505
1000081,4.3,94024.9,376099.6,1645435.75,2.57,813.0928379
1000082,6.8,8422,33688,147385,0.23,111.8250932
1000083,4.9,12542.4,50169.6,219492,0.34,170.7514314
1000084,7.3,2616.1,10464.4,45781.75,0.07,27.54024763
1000085,4,3434.7,13738.8,60107.25,0.09,42.13754414
1000086,4.1,809.5,3238,14166.25,0.02,13.44959752
1000087,3.3,1641.5,6566,28726.25,0.04,15.26987166
1000088,6.4,4313.1,17252.4,75479.25,0.12,43.74022907
1000089,6.3,2670.5,10682,46733.75,0.07,46.6885899
1000090,6,2212.2,8848.8,44244,0.08,37.87689283
1000091,6.6,36201.8,144807.2,633531.5,0.99,244.6325276
1000092,5,51780.4,207121.6,906157,1.42,387.2474023
1000093,6.6,12482.2,49928.8,218438.5,0.34,110.8153406
1000094,7,11722.8,46891.2,205149,0.32,100.8508726
1000095,5.3,26152.4,104609.6,457667,0.72,316.7195891
1000096,5.666977492,12834.6,51338.4,224605.5,0.35,347.1612459
1000097,7,1436.8,5747.2,25144,0.04,17.09705676
1000098,8,2493.6,9974.4,43638,0.07,29.88533781
1000099,5.1,2560.2,10240.8,44803.5,0.07,29.08880273
1000100,6.7,63918.5,255674,1118573.75,1.75,375.0547887
1000101,2.3,5730.7,22922.8,100287.25,0.16,46.71727426
1000102,6.7,2098.3,8393.2,36720.25,0.06,21.67116286
1000103,4.8,4203.4,16813.6,73559.5,0.11,43.85866774
1000104,5.6,8861.3,35445.2,155072.75,0.24,62.66995919
1000105,8.2,57992.4,231969.6,1014867,1.59,384.258659
1000106,3.7,3054.3,12217.2,53450.25,0.08,36.1191431
1000107,6.3,1850.4,7401.6,32382,0.05,32.6466912
1000108,5.9,2498.2,9992.8,43718.5,0.07,26.83505928
1000109,6.5,14059.1,56236.4,246034.25,0.38,100.8869797
1000110,6.5,2554.7,10218.8,44707.25,0.07,23.24688082
1000111,6.5,12842.9,51371.6,224750.75,0.35,95.04418769
1000112,7.3,8846.3,35385.2,154810.25,0.24,108.4002298
1000113,4.9,1735.5,6942,30371.25,0.05,20.98838574
1000114,4.9,10144.1,40576.4,177521.75,0.28,94.53574414
1000115,5.9,451.9,1807.6,7908.25,0.01,9.403665479
1000116,6.8,152.5,610,2668.75,0.004120789,6.516432729
1000117,4.9,335.3,1341.2,5867.75,0.01,8.179366569
1000118,4.9,166.1,664.4,2906.75,0.004492637,6.939765711
1000119,5.7,784.5,3138,13728.75,0.02,13.62987636
1000120,5.7,2287.8,9151.2,40036.5,0.06,35.19844691
1000121,5.1,3059.7,12238.8,53544.75,0.08,33.08489982
1000122,7.3,758.9,3035.6,13280.75,0.02,13.61770739
1000123,7.6,689.5,2758,12066.25,0.02,11.67408855
1000124,7.3,5654.3,22617.2,98950.25,0.15,62.13534022
1000125,7.3,2339.9,9359.6,40948.25,0.06,45.88008182
1000126,7.3,475.7,1902.8,8324.75,0.01,16.89895302
